Case_ID,Person_ID,Age_Group,Gender,Last_Latitude,Last_Longitude,Last_Seen_Time,Day,Hour,Weather,Usual_Area,Average_Distance,Average_Speed,Previous_Area,Time_Since_Last_Seen,Target_Area
SYN-001,FICTIONAL_0,26-40,Not used for prediction,39.994282,116.319805,2009-04-26 09:33:35,Sunday,9,Rain,1,0.020627269983875002,12.814023047796102,1,12,3
SYN-002,FICTIONAL_0,26-40,Not used for prediction,40.003657,116.32425,2009-05-09 18:20:41,Saturday,18,Clear,1,0.020627269983875002,12.814023047796102,1,14,0
SYN-003,FICTIONAL_0,41-60,Not used for prediction,39.917027,116.629874,2009-04-26 07:27:30,Sunday,7,Rain,1,0.020627269983875002,12.814023047796102,3,7,2
SYN-004,FICTIONAL_0,41-60,Not used for prediction,40.003771,116.322374,2009-04-23 09:57:53,Thursday,9,Cloudy,1,0.020627269983875002,12.814023047796102,1,13,0
SYN-005,FICTIONAL_0,26-40,Not used for prediction,39.9469,116.790992,2009-04-25 17:07:41,Saturday,17,Clear,1,0.020627269983875002,12.814023047796102,3,1,0
SYN-006,FICTIONAL_0,26-40,Not used for prediction,39.986294,116.373066,2009-05-03 06:36:42,Sunday,6,Clear,1,0.020627269983875002,12.814023047796102,1,22,0
SYN-007,FICTIONAL_0,18-25,Not used for prediction,40.010133,116.321779,2009-04-16 04:47:05,Thursday,4,Clear,1,0.020627269983875002,12.814023047796102,1,14,1
SYN-008,FICTIONAL_0,18-25,Not used for prediction,39.922345,116.707344,2009-04-15 07:53:08,Wednesday,7,Cloudy,1,0.020627269983875002,12.814023047796102,3,17,3
SYN-009,FICTIONAL_0,41-60,Not used for prediction,40.008127,116.319164,2009-04-20 10:16:47,Monday,10,Clear,1,0.020627269983875002,12.814023047796102,1,16,2
SYN-010,FICTIONAL_0,18-25,Not used for prediction,40.010581,116.312627,2009-05-01 09:26:14,Friday,9,Rain,1,0.020627269983875002,12.814023047796102,1,19,1
SYN-011,FICTIONAL_0,41-60,Not used for prediction,39.930405,116.744335,2009-04-15 07:50:03,Wednesday,7,Cloudy,1,0.020627269983875002,12.814023047796102,3,22,0
SYN-012,FICTIONAL_0,18-25,Not used for prediction,39.946787,116.794614,2009-04-19 04:04:31,Sunday,4,Clear,1,0.020627269983875002,12.814023047796102,3,1,3
SYN-013,FICTIONAL_0,18-25,Not used for prediction,39.994868,116.327381,2009-04-29 09:21:37,Wednesday,9,Cloudy,1,0.020627269983875002,12.814023047796102,1,9,2
SYN-014,FICTIONAL_0,41-60,Not used for prediction,39.990695,116.326637,2009-05-03 06:49:07,Sunday,6,Cloudy,1,0.020627269983875002,12.814023047796102,1,20,0
SYN-015,FICTIONAL_0,26-40,Not used for prediction,40.005502,116.316791,2009-04-22 04:52:20,Wednesday,4,Clear,1,0.020627269983875002,12.814023047796102,1,23,2
SYN-016,FICTIONAL_0,41-60,Not used for prediction,40.001446,116.326379,2009-04-21 00:07:36,Tuesday,0,Cloudy,1,0.020627269983875002,12.814023047796102,1,13,3
SYN-017,FICTIONAL_0,18-25,Not used for prediction,39.991669,116.328911,2009-04-19 12:01:27,Sunday,12,Rain,1,0.020627269983875002,12.814023047796102,1,23,3
SYN-018,FICTIONAL_0,18-25,Not used for prediction,40.0072,116.320776,2009-04-16 11:32:06,Thursday,11,Cloudy,1,0.020627269983875002,12.814023047796102,1,2,0
SYN-019,FICTIONAL_0,18-25,Not used for prediction,39.951247,116.796936,2009-04-25 13:20:07,Saturday,13,Rain,1,0.020627269983875002,12.814023047796102,3,24,2
SYN-020,FICTIONAL_0,41-60,Not used for prediction,39.994947,116.326781,2009-05-07 03:49:50,Thursday,3,Clear,1,0.020627269983875002,12.814023047796102,1,18,1
